iter	Passed	Remaining
0	6	192107
1	7	113795
2	8	86964
3	9	73723
4	10	64832
5	11	59442
6	13	55960
7	14	52885
8	15	50437
9	16	49769
10	18	49578
11	19	48101
12	20	46909
13	21	45907
14	22	44969
15	23	44453
16	26	45882
17	27	45486
18	48	76447
19	51	76783
20	52	75134
21	53	73413
22	68	89858
23	70	88195
24	71	85995
25	73	84469
26	74	82661
27	75	81169
28	77	79592
29	78	78016
30	79	77274
31	81	76357
32	82	75081
33	83	73743
34	84	72621
35	86	72121
36	87	71036
37	88	69772
38	89	68682
39	90	67556
40	91	66509
41	91	65599
42	93	65203
43	94	64270
44	95	63411
45	96	62688
46	97	62007
47	98	61296
48	99	60556
49	99	59791
50	100	59116
51	101	58479
52	102	58080
53	103	57599
54	104	57070
55	105	56546
56	106	56100
57	108	55767
58	108	55280
59	109	54819
60	110	54459
61	112	54099
62	112	53632
63	113	53215
64	114	52847
65	115	52476
66	116	52133
67	117	51822
68	118	51523
69	119	51216
70	121	51012
71	122	50782
72	123	50593
73	124	50394
74	128	51435
75	130	51387
76	131	51221
77	132	50956
78	133	50606
79	134	50269
80	135	49940
81	137	50308
82	139	50234
83	140	50054
84	141	49934
85	142	49699
86	143	49465
87	144	49285
88	145	49053
89	147	48910
90	148	48712
91	149	48553
92	150	48348
93	151	48292
94	152	48092
95	154	48047
96	155	47921
97	157	47904
98	158	47773
99	159	47612
100	160	47491
101	161	47324
102	162	47208
103	163	47088
104	165	47037
105	166	46939
106	167	46799
107	169	46820
108	170	46705
109	171	46604
110	172	46436
111	173	46311
112	174	46183
113	175	45995
114	176	45826
115	177	45686
116	178	45547
117	179	45556
118	181	45472
119	182	45339
120	183	45207
121	184	45086
122	185	44937
123	185	44767
124	186	44616
125	187	44502
126	188	44400
127	189	44283
128	190	44218
129	191	44089
130	192	43957
131	195	44132
132	196	44018
133	197	43911
134	197	43760
135	198	43610
136	199	43457
137	200	43305
138	200	43152
139	201	43000
140	202	42882
141	203	42737
142	204	42595
143	204	42457
144	205	42339
145	206	42241
146	207	42104
147	208	42037
148	209	41981
149	210	41852
150	211	41755
151	212	41630
152	212	41495
153	213	41369
154	214	41237
155	214	41125
156	215	41006
157	216	40887
158	217	40805
159	218	40693
160	218	40582
161	219	40493
162	220	40392
163	221	40283
164	222	40212
165	223	40194
166	224	40093
167	225	39988
168	226	39896
169	226	39792
170	227	39692
171	228	39597
172	229	39517
173	229	39424
174	230	39330
175	231	39240
176	232	39162
177	233	39066
178	233	38975
179	234	38908
180	235	38838
181	236	38751
182	237	38662
183	238	38642
184	239	38552
185	240	38470
186	240	38381
187	241	38293
188	242	38214
189	243	38134
190	243	38048
191	244	37962
192	245	37884
193	246	37809
194	246	37735
195	247	37651
196	249	37676
197	249	37608
198	250	37535
199	251	37501
200	252	37466
201	253	37395
202	254	37326
203	255	37266
204	255	37201
205	256	37135
206	257	37086
207	258	37048
208	259	36970
209	260	36907
210	260	36842
211	261	36772
212	262	36705
213	263	36665
214	264	36626
215	266	36678
216	268	36797
217	269	36775
218	270	36731
219	270	36675
220	271	36610
221	272	36541
222	273	36480
223	273	36411
224	274	36343
225	275	36335
226	276	36283
227	277	36223
228	278	36160
229	278	36103
230	279	36045
231	280	36011
232	281	36001
233	282	35946
234	283	35888
235	284	35849
236	284	35789
237	285	35727
238	286	35683
239	287	35630
240	288	35567
241	288	35526
242	289	35481
243	290	35442
244	291	35380
245	292	35332
246	292	35277
247	293	35227
248	294	35171
249	295	35174
250	296	35126
251	297	35074
252	297	35021
253	298	34967
254	299	34924
255	300	34883
256	301	34878
257	302	34865
258	303	34820
259	303	34771
260	304	34720
261	305	34675
262	306	34631
263	307	34590
264	307	34537
265	308	34491
266	309	34453
267	310	34493
268	311	34447
269	312	34408
270	313	34363
271	314	34322
272	314	34278
273	315	34230
274	316	34186
275	316	34139
276	317	34099
277	318	34064
278	319	34020
279	320	33985
280	320	33946
281	321	33908
282	322	33861
283	323	33825
284	324	33803
285	325	33785
286	325	33745
287	326	33715
288	327	33695
289	328	33667
290	329	33631
291	330	33613
292	331	33594
293	332	33570
294	333	33560
295	334	33542
296	335	33509
297	335	33481
298	336	33461
299	337	33438
300	338	33439
301	339	33410
302	340	33374
303	341	33340
304	342	33298
305	342	33260
306	343	33230
307	344	33226
308	345	33196
309	346	33158
310	347	33129
311	347	33103
312	348	33072
313	349	33037
314	350	33007
315	351	32973
316	351	32935
317	352	32900
318	353	32925
319	354	32893
320	355	32877
321	356	32899
322	357	32865
323	358	32831
324	359	32806
325	360	32789
326	361	32761
327	361	32742
328	362	32716
329	363	32694
330	364	32669
331	365	32664
332	366	32641
333	367	32608
334	368	32632
335	369	32600
336	370	32569
337	371	32571
338	371	32542
339	372	32519
340	373	32499
341	374	32470
342	375	32439
343	375	32407
344	376	32377
345	377	32350
346	378	32321
347	379	32299
348	380	32289
349	381	32278
350	381	32259
351	382	32248
352	383	32241
353	384	32215
354	385	32185
355	386	32156
356	386	32129
357	387	32114
358	388	32088
359	389	32058
360	390	32035
361	390	32009
362	391	31981
363	392	31949
364	393	31923
365	393	31897
366	394	31873
367	395	31849
368	397	31894
369	398	31890
370	399	31878
371	399	31851
372	400	31827
373	401	31799
374	402	31777
375	402	31748
376	403	31720
377	404	31693
378	405	31673
379	406	31650
380	406	31625
381	407	31601
382	408	31577
383	409	31547
384	409	31521
385	411	31543
386	412	31529
387	412	31504
388	413	31493
389	414	31486
390	415	31461
391	416	31437
392	417	31416
393	417	31390
394	418	31364
395	419	31340
396	420	31325
397	421	31317
398	421	31294
399	422	31276
400	423	31252
401	424	31238
402	425	31217
403	426	31213
404	426	31194
405	427	31180
406	428	31169
407	429	31158
408	430	31135
409	431	31131
410	432	31115
411	433	31100
412	433	31084
413	434	31062
414	435	31040
415	436	31022
416	437	31002
417	437	30984
418	438	30988
419	439	30986
420	441	30985
421	442	30986
422	443	30978
423	444	30977
424	444	30966
425	446	30969
426	447	30960
427	448	30972
428	449	30977
429	450	30983
430	452	31012
431	453	31029
432	455	31088
433	456	31089
434	457	31101
435	458	31108
436	459	31106
437	460	31107
438	461	31100
439	462	31080
440	463	31085
